#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S05818	5818	1972-005D	C  F        	Delta 87 clamp band half?	-	1972 Jan 31	S05815	1972 Jan 31 1806	Earth	1975 Jun  8	R	-	GSFC	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar  2	315	 	1117	 	89.78	 	LEO/P	-	-
S05819	5819	1972-005E	C  F        	Delta 87 clamp band half?	-	1972 Jan 31	S05815	1972 Jan 31 1806	Earth	1975 Sep  2	R	-	GSFC	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar  1	319	 	1112	 	89.79	 	LEO/P	-	-
S05820	5820	1964-086D	Z  X        	Altair	(duplicate?)	1964 Dec 21	S04926	1964 Dec 21	Earth	1972 Feb  1	ERR	-	LARCN	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb  1	250	 	22723	 	19.99	 	HEO	-	-
S05821	5821	1972-006A	P           	Kosmos-473	Gektor No. 26L	1972 Feb  3	S05822	1972 Feb  3 0848	Earth	1972 Feb 15 0616?	L	-	GUKOSR	SU	TSKBE3	Zenit-2M	-	2200	?	2200	?	5400	?	6.5	?	2.4	?	6.5	?	Sphere + DCone	1972 Feb  5	205	 	309	 	65.01	 	LLEO/I	-	"Zenit-2M No. 26L:P,11F690 No. 780-14-21-136:RA"
S05822	5822	1972-006B	R3          	11A57I	11A57I	1972 Feb  3	R26743	1972 Feb  3 0848	Earth	1972 Feb 11	R	-	RVSN	SU	PROG	Blok-I	-	2350	 	2350	 	2350	 	6.7	 	2.7	 	6.7	 	Cyl	1972 Feb  5	201	 	291	 	65.05	 	LLEO/I	-	-
S05823	5823	1969-082JX	D  P        	deb Agena D	-	1969 Sep 30	S04159	1969 Oct  4 1553	Earth	1972 Apr  9	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar 31	310	 	348	 	69.29	 	LLEO/I	-	-
S05824	5824	1970-025MJ	D  P        	deb Agena D	-	1970 Apr  8	S04367	1970 Oct 17 0317	Earth	-	O	-	GSFC	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Feb  6	704	 	1709	 	97.88	 	LEO/S	-	-
S05825	5825	1970-025MK	D  P        	deb Agena D	-	1970 Apr  8	S04367	1970 Oct 17 0317	Earth	1972 Dec  3	R	-	GSFC	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Oct  5	510	 	647	 	99.62	 	LLEO/S	-	-
S05826	5826	1961 OMI 245	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Feb  7	899	 	1010	 	66.69	 	LEO/I	-	-
S05827	5827	1968-097DE	D  W        	deb Kosmos-252	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	1982 Nov 19	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1970 Jul 31	551	 	1925	 	62.31	 	LEO/I	-	-
S05828	5828	1968-097DF	D  W        	deb Kosmos-252	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	1982 Nov 19	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb  6	621	 	1978	 	62.24	 	LEO/I	-	-
S05829	5829	1968-097DG	D  W        	deb Kosmos-252	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	1978 Mar 31	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1978 Mar 26	267	 	343	 	62.8	 	LLEO/I	-	-
S05830	5830	1968-097DH	D  W        	deb Kosmos-252	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	1979 Feb 21	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb  6	519	 	1752	 	62.36	 	LEO/I	-	-
S05831	5831	1971-106Z	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Mar 16	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar 12	181	 	439	 	65.65	 	LLEO/I	-	-
S05832	5832	1971-106AA	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Mar 15	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar 11	181	 	410	 	65.42	 	LLEO/I	-	-
S05833	5833	1971-106AB	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Feb 25	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb 15	204	 	756	 	65.71	 	LLEO/I	-	-
S05834	5834	1971-106AC	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Mar 19	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb  6	218	 	1274	 	65.74	 	LEO/I	-	-
S05835	5835	1972-007A	P   D       	Luna-20 VA	VA	1972 Feb 14	A02091	1972 Feb 14 0448?	Earth	1972 Feb 15	DSA	D00425	IKI/BABTS	SU	NPOL	Luna VA	-	39	 	39	 	39	 	0.5	 	0.5	 	0.5	 	Sphere	1972 Feb 25	0	?	400000	?	51.5	?	CLO	-	-
S05836	5836	1972-007B	R4  D       	Blok D No. 0801L	11S824	1972 Feb 14	R26809	1972 Feb 14 0337	Earth	1972 Feb 15?	DSO	D00426	RVSN	SU	TSKBEM	Blok D	11D58	13360	 	1800	 	1800	 	5.8	 	4.1	 	5.8	 	Cyl	1972 Feb 14	200	 	400000	?	51.5	 	CLO	-	-
S05837	5837	1972-007C	C  M        	SOZ	SOZ	1972 Feb 14	S05836	1972 Feb 14 0442?	Earth	1972 Feb 17	R	-	RVSN	SU	TSKBEM	SOZ	-	120	 	60	?	60	?	1.1	 	0.5	 	1.1	 	Cyl	1972 Feb 16	167	 	210	 	51.52	 	LLEO/I	-	-
S05838	5838	1972-007D	C  M        	SOZ	SOZ	1972 Feb 14	S05836	1972 Feb 14 0442?	Earth	1972 Feb 17	R	-	RVSN	SU	TSKBEM	SOZ	-	120	 	60	?	60	?	1.1	 	0.5	 	1.1	 	Cyl	1972 Feb 16	48	 	328	 	51.13	 	TA	-	-
S05839	5839	1972-008A	P           	Kosmos-474	Rotor No. 30L	1972 Feb 16	S05840	1972 Feb 16 0938	Earth	1972 Feb 29 0711?	L	-	GUKOSR	SU	TSKBE3	Zenit-4M	-	2200	 	2200	 	6000	 	6	?	2.2	 	6	 	Sphere + DCone	1972 Feb 18	176	 	324	 	64.97	 	LLEO/I	-	"Zenit-4M No. 30L:P,11F691 No. 780-14-22-240:RA"
S05840	5840	1972-008B	R3          	11A57I	11A57I	1972 Feb 16	R26817	1972 Feb 16 0938	Earth	1972 Feb 23	R	-	RVSN	SU	PROG	Blok-I	-	2350	 	2350	 	2350	 	6.7	 	2.7	 	6.7	 	Cyl	1972 Feb 19	193	 	289	 	64.99	 	LLEO/I	-	-
S05841	5841	1972-007E	PX-SD--     	Luna-20 KT	E-8-5 No. 408	1972 Feb 14	S05836	1972 Feb 14 0448?	Earth	1972 Feb 15	DSO	D00427	IKI/BABTS	SU	NPOL	Luna E-8	KTDU-417	3180	 	1360	?	4542	?	1.5	 	3.5	 	5	?	Irr + 4 Leg	1972 Feb 14	200	 	400000	?	51.5	 	CLO	-	-
S05842	5842	1970-025ML	D  P        	deb Agena D	-	1970 Apr  8	S04367	1970 Oct 17 0317	Earth	-	O	-	GSFC	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Feb  6	820	 	946	 	100.06	 	LEO/S	-	-
S05843	5843	1970-025MM	D  P        	deb Agena D	-	1970 Apr  8	S04367	1970 Oct 17 0317	Earth	1989 Feb 23	R	-	GSFC	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1989 Feb 22	407	 	443	 	100.8	 	LLEO/S	-	-
S05844	5844	1965-082TU	D  P        	deb Transtage 4	-	1965 Oct 15	S01822	1965 Oct 15 1820	Earth	1974 May 13	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1974 Apr  8	668	 	831	 	31.38	 	LEO/I	-	-
S05845	5845	1965-082TV	D  P        	deb Transtage 4	-	1965 Oct 15	S01822	1965 Oct 15 1820	Earth	1982 Sep 17	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb 28	663	 	832	 	32	 	LEO/I	S	-
S05846	5846	1972-009A	P           	Kosmos-475	Tsiklon No. 19L	1972 Feb 25	S05847	1972 Feb 25 0855?	Earth	-	O	-	OKB10	SU	OAZ	KAUR-1 11F617	-	680	 	680	 	680	 	5	 	2.1	 	17	 	Cyl + Ant	1972 Mar 26	965	 	1001	 	74.05	 	LEO/I	-	11F617 No. Yu226-19:RA
S05847	5847	1972-009B	R2          	S3M	S3M	1972 Feb 25	R26866	1972 Feb 25 0800?	Earth	-	O	-	RVSN	SU	OAZ	S3	-	1434	 	1434	 	1434	 	4.2	 	2.4	 	4.2	 	Cyl	1972 Mar 28	967	 	990	 	74.05	 	LEO/I	-	-
S05848	5848	1972-008C	C  M        	KDU	KDU	1972 Feb 16	S05850	1972 Feb 27	Earth	1972 Feb 29	R	-	GUKOSR	SU	TSKBE3	Zenit KDU	-	430	?	140	?	0	 	1	 	0.4	 	1	 	Frust	1972 Feb 27	170	 	261	 	64.93	 	LLEO/I	-	-
S05849	5849	1972-008D	C  F        	Blenda	BZA	1972 Feb 16	S05850	1972 Feb 27	Earth	1972 Feb 28	R	-	GUKOSR	SU	TSKBE3	Zenit BZA	-	20	?	20	?	0	 	1	?	0.4	?	1	?	Box?	1972 Feb 27	154	 	204	 	64.98	 	LLEO/I	-	-
S05850	5850	1972-008E	C  F        	PTDU cover?	-	1972 Feb 16	S05839	1972 Feb 29 0640?	Earth	1972 Mar  1	R	-	GUKOSR	SU	TSKBE3	Zenit deb	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb 29	194	 	399	 	64.98	 	LLEO/I	-	-
S05851	5851	1972-010A	P           	DSP F3	DSP 4	1972 Mar  1	S05854	1972 Mar  1 1600?	Earth	-	O	GEO/ID?	SAMSO	US	TRW	DSP	MRE-4	903	?	860	?	903	?	6.9	 	2.8	 	7.4	 	Cyl + 4 Pan	1979 Oct 29	35692	 	35881	 	5.72	 	GEO/I	-	OPS 1570
